,Start Date,End Date
0,2023-06-01 11:15:00,2023-06-01 11:45:00
1,2023-06-01 11:45:00,2023-06-01 12:15:00
2,2023-06-01 13:15:00,2023-06-01 13:45:00
3,2023-06-02 09:45:00,2023-06-02 10:15:00
4,2023-06-02 13:15:00,2023-06-02 13:45:00
5,2023-06-02 14:15:00,2023-06-02 14:45:00
6,2023-06-05 10:15:00,2023-06-05 10:45:00
7,2023-06-05 10:45:00,2023-06-05 11:15:00
8,2023-06-05 12:45:00,2023-06-05 13:15:00
9,2023-06-05 13:15:00,2023-06-05 13:45:00
10,2023-06-06 09:45:00,2023-06-06 10:15:00
11,2023-06-06 10:15:00,2023-06-06 10:45:00
12,2023-06-06 10:45:00,2023-06-06 11:15:00
13,2023-06-06 13:15:00,2023-06-06 13:45:00
14,2023-06-06 14:15:00,2023-06-06 14:45:00
15,2023-06-07 10:15:00,2023-06-07 10:45:00
16,2023-06-07 10:45:00,2023-06-07 11:15:00
17,2023-06-07 11:45:00,2023-06-07 12:15:00
18,2023-06-07 12:15:00,2023-06-07 12:45:00
19,2023-06-07 13:15:00,2023-06-07 13:45:00
20,2023-06-08 10:15:00,2023-06-08 10:45:00
21,2023-06-08 12:45:00,2023-06-08 13:15:00
22,2023-06-08 13:15:00,2023-06-08 13:45:00
23,2023-06-08 13:45:00,2023-06-08 14:15:00
24,2023-06-08 14:15:00,2023-06-08 14:45:00
25,2023-06-09 09:45:00,2023-06-09 10:15:00
26,2023-06-09 11:15:00,2023-06-09 11:45:00
27,2023-06-09 11:45:00,2023-06-09 12:15:00
28,2023-06-09 14:15:00,2023-06-09 14:45:00
29,2023-06-12 09:45:00,2023-06-12 10:15:00
30,2023-06-12 10:45:00,2023-06-12 11:15:00
31,2023-06-12 11:15:00,2023-06-12 11:45:00
32,2023-06-12 11:45:00,2023-06-12 12:15:00
33,2023-06-12 13:15:00,2023-06-12 13:45:00
34,2023-06-12 13:45:00,2023-06-12 14:15:00
35,2023-06-12 14:15:00,2023-06-12 14:45:00
36,2023-06-13 09:45:00,2023-06-13 10:15:00
37,2023-06-13 10:15:00,2023-06-13 10:45:00
38,2023-06-13 10:45:00,2023-06-13 11:15:00
39,2023-06-13 11:15:00,2023-06-13 11:45:00
40,2023-06-13 12:15:00,2023-06-13 12:45:00
41,2023-06-13 13:15:00,2023-06-13 13:45:00
42,2023-06-13 14:15:00,2023-06-13 14:45:00
43,2023-06-14 09:45:00,2023-06-14 10:15:00
44,2023-06-14 10:15:00,2023-06-14 10:45:00
45,2023-06-14 11:15:00,2023-06-14 11:45:00
46,2023-06-14 11:45:00,2023-06-14 12:15:00
47,2023-06-14 12:15:00,2023-06-14 12:45:00
48,2023-06-14 12:45:00,2023-06-14 13:15:00
49,2023-06-14 13:45:00,2023-06-14 14:15:00
50,2023-06-14 14:15:00,2023-06-14 14:45:00
51,2023-06-15 10:15:00,2023-06-15 10:45:00
52,2023-06-15 12:15:00,2023-06-15 12:45:00
53,2023-06-15 13:15:00,2023-06-15 13:45:00
54,2023-06-16 10:15:00,2023-06-16 10:45:00
55,2023-06-16 10:45:00,2023-06-16 11:15:00
56,2023-06-16 11:45:00,2023-06-16 12:15:00
57,2023-06-16 12:15:00,2023-06-16 12:45:00
58,2023-06-16 12:45:00,2023-06-16 13:15:00
59,2023-06-16 13:15:00,2023-06-16 13:45:00
60,2023-06-19 11:45:00,2023-06-19 12:15:00
61,2023-06-19 12:15:00,2023-06-19 12:45:00
62,2023-06-19 13:15:00,2023-06-19 13:45:00
63,2023-06-19 14:15:00,2023-06-19 14:45:00
64,2023-06-20 10:15:00,2023-06-20 10:45:00
65,2023-06-20 11:15:00,2023-06-20 11:45:00
66,2023-06-20 11:45:00,2023-06-20 12:15:00
67,2023-06-20 12:45:00,2023-06-20 13:15:00
68,2023-06-20 13:15:00,2023-06-20 13:45:00
69,2023-06-21 10:45:00,2023-06-21 11:15:00
70,2023-06-21 11:15:00,2023-06-21 11:45:00
71,2023-06-21 11:45:00,2023-06-21 12:15:00
72,2023-06-21 13:45:00,2023-06-21 14:15:00
73,2023-06-21 14:15:00,2023-06-21 14:45:00
74,2023-06-22 09:45:00,2023-06-22 10:15:00
75,2023-06-22 10:15:00,2023-06-22 10:45:00
76,2023-06-22 10:45:00,2023-06-22 11:15:00
77,2023-06-22 11:15:00,2023-06-22 11:45:00
78,2023-06-22 12:45:00,2023-06-22 13:15:00
79,2023-06-22 13:15:00,2023-06-22 13:45:00
80,2023-06-23 10:45:00,2023-06-23 11:15:00
81,2023-06-23 11:15:00,2023-06-23 11:45:00
82,2023-06-23 12:15:00,2023-06-23 12:45:00
83,2023-06-23 12:45:00,2023-06-23 13:15:00
84,2023-06-23 13:15:00,2023-06-23 13:45:00
85,2023-06-23 13:45:00,2023-06-23 14:15:00
86,2023-06-23 14:15:00,2023-06-23 14:45:00
87,2023-06-26 10:15:00,2023-06-26 10:45:00
88,2023-06-26 10:45:00,2023-06-26 11:15:00
89,2023-06-26 11:15:00,2023-06-26 11:45:00
90,2023-06-26 11:45:00,2023-06-26 12:15:00
91,2023-06-26 14:15:00,2023-06-26 14:45:00
92,2023-06-27 09:45:00,2023-06-27 10:15:00
93,2023-06-27 11:45:00,2023-06-27 12:15:00
94,2023-06-27 12:45:00,2023-06-27 13:15:00
95,2023-06-28 11:15:00,2023-06-28 11:45:00
96,2023-06-28 12:15:00,2023-06-28 12:45:00
97,2023-06-28 13:15:00,2023-06-28 13:45:00
98,2023-06-28 13:45:00,2023-06-28 14:15:00
99,2023-06-28 14:15:00,2023-06-28 14:45:00
100,2023-06-30 10:45:00,2023-06-30 11:15:00
101,2023-06-30 11:45:00,2023-06-30 12:15:00
102,2023-06-30 12:15:00,2023-06-30 12:45:00
103,2023-06-30 13:15:00,2023-06-30 13:45:00
104,2023-06-30 13:45:00,2023-06-30 14:15:00
105,2023-06-30 14:15:00,2023-06-30 14:45:00
106,2023-07-03 09:45:00,2023-07-03 10:15:00
107,2023-07-03 10:45:00,2023-07-03 11:15:00
108,2023-07-03 12:15:00,2023-07-03 12:45:00
109,2023-07-03 12:45:00,2023-07-03 13:15:00
110,2023-07-03 13:15:00,2023-07-03 13:45:00
111,2023-07-03 13:45:00,2023-07-03 14:15:00
112,2023-07-03 14:15:00,2023-07-03 14:45:00
113,2023-07-04 09:45:00,2023-07-04 10:15:00
114,2023-07-04 12:15:00,2023-07-04 12:45:00
115,2023-07-04 12:45:00,2023-07-04 13:15:00
116,2023-07-04 13:15:00,2023-07-04 13:45:00
117,2023-07-04 13:45:00,2023-07-04 14:15:00
118,2023-07-04 14:15:00,2023-07-04 14:45:00
119,2023-07-05 10:15:00,2023-07-05 10:45:00
120,2023-07-05 11:45:00,2023-07-05 12:15:00
121,2023-07-05 12:15:00,2023-07-05 12:45:00
122,2023-07-05 12:45:00,2023-07-05 13:15:00
123,2023-07-05 13:15:00,2023-07-05 13:45:00
124,2023-07-05 13:45:00,2023-07-05 14:15:00
125,2023-07-05 14:15:00,2023-07-05 14:45:00
126,2023-07-06 09:45:00,2023-07-06 10:15:00
127,2023-07-06 10:15:00,2023-07-06 10:45:00
128,2023-07-06 11:15:00,2023-07-06 11:45:00
129,2023-07-06 12:45:00,2023-07-06 13:15:00
130,2023-07-07 12:15:00,2023-07-07 12:45:00
131,2023-07-07 14:15:00,2023-07-07 14:45:00
132,2023-07-10 11:45:00,2023-07-10 12:15:00
133,2023-07-10 13:15:00,2023-07-10 13:45:00
134,2023-07-10 14:15:00,2023-07-10 14:45:00
135,2023-07-11 11:15:00,2023-07-11 11:45:00
136,2023-07-11 12:15:00,2023-07-11 12:45:00
137,2023-07-11 12:45:00,2023-07-11 13:15:00
138,2023-07-12 09:45:00,2023-07-12 10:15:00
139,2023-07-12 10:15:00,2023-07-12 10:45:00
140,2023-07-12 10:45:00,2023-07-12 11:15:00
141,2023-07-12 11:15:00,2023-07-12 11:45:00
142,2023-07-12 11:45:00,2023-07-12 12:15:00
143,2023-07-12 12:15:00,2023-07-12 12:45:00
144,2023-07-12 12:45:00,2023-07-12 13:15:00
145,2023-07-13 11:15:00,2023-07-13 11:45:00
146,2023-07-13 11:45:00,2023-07-13 12:15:00
147,2023-07-13 12:45:00,2023-07-13 13:15:00
148,2023-07-14 10:45:00,2023-07-14 11:15:00
149,2023-07-14 12:15:00,2023-07-14 12:45:00
150,2023-07-14 14:15:00,2023-07-14 14:45:00
151,2023-07-17 09:45:00,2023-07-17 10:15:00
152,2023-07-17 10:15:00,2023-07-17 10:45:00
153,2023-07-17 11:15:00,2023-07-17 11:45:00
154,2023-07-17 12:15:00,2023-07-17 12:45:00
155,2023-07-17 13:15:00,2023-07-17 13:45:00
156,2023-07-17 13:45:00,2023-07-17 14:15:00
157,2023-07-18 09:45:00,2023-07-18 10:15:00
158,2023-07-18 10:45:00,2023-07-18 11:15:00
159,2023-07-18 11:45:00,2023-07-18 12:15:00
160,2023-07-18 12:15:00,2023-07-18 12:45:00
161,2023-07-18 12:45:00,2023-07-18 13:15:00
162,2023-07-18 13:15:00,2023-07-18 13:45:00
